tripid,faremethod,fare,loc_from,loc_to,driverid,custid,distance,duration
1,2,776,16,8,7,98,23,20
2,2,1479,24,33,1,76,26,15
3,4,152,18,32,6,45,3,24
4,3,153,28,14,28,40,5,4
5,2,366,19,27,27,59,5,2
6,1,963,37,2,14,41,25,14
7,3,581,22,16,15,52,22,19
8,1,918,28,3,5,25,4,12
9,4,700,25,32,4,14,17,16
10,4,1066,32,4,18,64,23,8
11,3,750,37,18,1,84,13,4
12,1,310,22,7,24,17,27,23
13,2,195,21,37,6,30,5,14
14,2,1021,26,27,22,54,15,8
15,1,563,3,2,19,45,7,2
16,1,148,16,15,22,77,26,16
17,1,1212,27,25,26,2,7,3
18,3,75,29,37,4,22,10,19
19,4,57,13,16,11,87,2,14
20,4,647,24,28,16,88,9,1
21,4,693,20,21,13,15,16,19
22,1,1266,29,36,17,96,21,16
23,1,1214,35,26,16,32,5,17
24,1,413,28,9,19,43,27,6
25,1,427,32,16,30,81,22,14
26,3,928,12,10,13,23,27,17
27,1,195,4,18,30,71,7,18
28,3,1371,27,17,22,76,25,10
29,4,908,6,12,21,56,21,8
30,3,337,23,2,8,36,22,23
31,3,1223,30,2,12,46,3,5
32,3,1172,2,1,26,29,15,19
33,1,414,9,37,28,83,23,2
34,4,152,19,22,18,96,6,7
35,1,1080,3,37,16,17,11,18
36,1,1489,30,23,3,90,9,16
37,3,335,24,35,28,82,4,4
38,3,52,28,32,20,14,11,11
39,4,1063,26,8,2,94,9,5
40,1,929,14,21,23,24,19,17
41,4,719,6,1,8,73,11,14
42,3,648,20,16,27,84,17,13
43,2,764,11,36,19,59,20,2
44,1,862,16,4,28,1,25,19
45,1,666,9,16,24,84,24,19
46,1,1063,4,20,29,17,2,13
47,3,628,20,13,23,32,18,18
48,3,48,35,6,1,44,19,9
49,2,1106,11,15,20,72,2,17
50,3,90,35,26,15,22,16,3
51,2,424,36,33,24,71,2,20
52,4,268,35,26,7,27,12,22
53,4,1479,10,36,24,66,19,5
54,3,807,21,34,21,97,17,22
55,4,1431,33,19,9,26,2,21
56,1,1100,2,37,9,13,2,19
57,1,1456,15,32,30,46,19,7
58,1,1483,8,21,14,75,17,15
59,3,259,7,29,2,88,16,20
60,1,470,19,13,30,5,10,6
61,3,700,29,21,1,66,12,1
62,3,539,15,27,26,65,26,24
63,2,1227,15,17,19,62,23,10
64,3,1177,18,10,21,26,18,11
65,2,1220,35,18,23,97,23,1
66,3,335,10,5,30,19,18,18
67,1,122,24,11,14,35,13,13
68,4,987,24,13,1,76,27,14
69,2,1267,21,15,29,19,5,19
70,2,413,32,20,10,11,11,12
71,1,118,37,27,10,24,19,11
72,1,1193,20,29,5,12,2,12
73,1,1290,31,35,12,72,10,17
74,1,656,7,37,29,57,5,21
75,3,1190,36,20,23,93,18,17
76,3,285,11,22,9,67,20,11
77,3,950,4,11,6,74,20,2
78,3,1208,36,33,2,6,13,5
79,3,878,27,7,21,92,17,1
80,3,1200,18,35,16,17,21,4
